Id,Index,Encoder,Position,Lab UPT,AmpL,AmpR,SnrL,SnrR,NoiL,NoiR,avgUPT,UPTCnt,IdxL,IdxR,UptL,UptR,UPT-Total,VelL,VelR,SkewL,SkewT,GLenL,GLenR,FreqL,FreqR,ZFAvgL,ZFAvgR,ZStdL,ZStdR,FFreqL,FFreqR,FZFAvgL,FZFAvgR,FZStdL,FZStdR
296193,54,1933891347,16.1252,,2.07649,1.28063,21.2995,12.5098,0.09749,0.10237,444.92,165,914,771,261.143,220.286,481.429,3989.5,5053.5,0.272988,0.181993,41.017,43.8273,0,0,0,0,0,0,0,0,0,0,0,0
296193,55,1933891353,16.2909,,1.8551,0.93887,22.6508,15.1749,0.0819,0.06187,444.92,165,0,774,0,221.143,221.143,0,5024.85,0.272988,0.181993,0,43.7484,0,0,0,0,0,0,0,0,0,0,0,0
296193,56,1933891362,16.5394,,1.4721,0.98198,16.7094,14.4366,0.0881,0.06802,444.92,165,758,781,216.571,223.143,439.714,5208.69,4959.25,0.272988,0.181993,44.4116,43.5677,0,0,0,0,0,0,0,0,0,0,0,0
296193,57,1933891376,16.9259,,1.98139,1.53283,22.1113,21.641,0.08961,0.07083,444.92,165,744,758,212.571,216.571,429.143,5355.57,5181.52,0.272988,0.181993,44.8205,44.1799,0,0,0,0,0,0,0,0,0,0,0,0
296193,58,1933891386,17.2021,,1.77721,0.9682,22.157,10.2131,0.08021,0.0948,444.92,165,723,745,206.571,212.857,419.429,5592.11,5316.2,0.272988,0.181993,45.4791,44.5508,0,0,0,0,0,0,0,0,0,0,0,0
296193,59,1933891396,17.4782,,1.52428,0.58379,13.5227,7.31658,0.11272,0.07979,444.92,165,728,740,208,211.429,419.429,5533.91,5369.88,0.272988,0.181993,45.3171,44.6986,0,0,0,0,0,0,0,0,0,0,0,0
296193,60,1933891405,17.7267,,1.85999,0.77324,26.9525,7.17558,0.06901,0.10776,444.92,165,728,717,208,204.857,412.857,5533.91,5631.45,0.272988,0.181993,45.3171,45.419,0,0,0,0,0,0,0,0,0,0,0,0
296193,61,1933891416,18.0304,,2.01549,0.95572,21.5537,13.5987,0.09351,0.07028,444.92,165,725,866,207.143,247.429,454.571,5568.68,4280.63,0.272988,0.181993,45.4139,41.6988,0,0,0,0,0,0,0,0,0,0,0,0
296193,62,1933891429,18.3894,,2.00297,0.87736,31.8083,12.0782,0.06297,0.07264,444.92,165,0,737,0,210.571,210.571,0,5402.61,0.272988,0.181993,0,44.7888,0,0,0,0,0,0,0,0,0,0,0,0
296193,63,1933891440,18.6931,,2.02026,0.95588,23.5626,19.9641,0.08574,0.04788,444.92,165,725,741,207.143,211.714,418.857,5568.68,5359.05,0.272988,0.181993,45.4139,44.6688,0,0,0,0,0,0,0,0,0,0,0,0
296193,64,1933891448,18.914,,2.00304,1.39319,21.0935,25.8909,0.09496,0.05381,444.92,165,730,736,208.571,210.286,418.857,5510.98,5413.61,0.272988,0.181993,45.2532,44.8191,0,0,0,0,0,0,0,0,0,0,0,0
296193,65,1933891458,19.1901,,2.00341,1.67212,25.8205,29.9234,0.07759,0.05588,444.92,165,725,0,207.143,0,207.143,5568.68,0,0.272988,0.181993,45.4139,0,0,0,0,0,0,0,0,0,0,0,0,0
296193,66,1933891472,19.5767,,1.9302,0.9943,19.7362,35.8953,0.0978,0.0277,444.92,165,724,721,206.857,206,412.857,5580.37,5584.15,0.272988,0.181993,45.4465,45.2887,0,0,0,0,0,0,0,0,0,0,0,0
296193,67,1933891479,19.7699,,2.02995,1.12875,20.2894,13.0115,0.10005,0.08675,444.92,165,729,862,208.286,246.286,454.571,5522.42,4308.37,0.272988,0.181993,45.2851,41.7752,0,0,0,0,0,0,0,0,0,0,0,0
296193,68,1933891491,20.1013,,1.75242,1.01186,16.6232,18.3507,0.10542,0.05514,444.92,165,732,863,209.143,246.571,455.714,5488.22,4301.4,0.272988,0.181993,45.1899,41.756,0,0,0,0,0,0,0,0,0,0,0,0
296193,69,1933891505,20.4878,,1.95237,0.83696,18.8872,14.1954,0.10337,0.05896,444.92,165,729,731,208.286,208.857,417.143,5522.42,5469.28,0.272988,0.181993,45.2851,44.9724,0,0,0,0,0,0,0,0,0,0,0,0
